Date,Open,High,Low,Close,Adj Close,Volume
2000-10-30,42.818359,43.533661,42.527248,43.275822,12.292099,2143080
2000-10-31,43.275822,43.275822,43.275822,43.275822,12.292099,0
2000-11-01,45.247063,47.351383,44.673157,46.61113,13.239459,4231101
2000-11-02,46.411507,47.068588,45.987316,46.386555,13.175676,3631942
2000-11-03,46.594494,47.758938,45.538174,46.245159,13.135513,4785654
2000-11-06,46.369923,46.935509,45.213791,45.446682,12.908711,4028264
2000-11-07,45.330238,45.571442,44.423634,45.039124,12.792949,2843574
2000-11-08,45.330238,45.48827,44.864456,44.99754,12.781136,2281063
2000-11-09,45.005856,46.078808,44.756332,45.621349,12.958323,3083086
2000-11-10,45.662937,46.411507,44.548393,44.748013,12.710262,2957086
2000-11-13,44.631569,45.504902,44.598297,44.914364,12.757509,1798822
2000-11-14,44.914364,44.914364,44.914364,44.914364,12.757509,0
2000-11-15,45.163887,45.163887,42.934803,43.616837,12.388959,5957096
2000-11-16,42.793407,43.541981,41.795311,43.042931,12.225947,6603671
2000-11-17,42.219501,42.735184,40.589275,41.421024,11.76526,9571774
2000-11-20,41.171497,41.462612,39.008957,39.632767,11.257322,5605405
2000-11-21,39.008957,39.383244,38.027493,38.792702,11.018711,5536076
2000-11-22,38.260384,39.150352,37.536762,38.717842,10.997446,4830907
2000-11-23,39.008957,40.589275,38.967369,40.323116,11.453408,3185302
2000-11-24,40.672451,41.07169,39.799114,39.982101,11.356549,3000324
2000-11-27,40.131817,40.680767,38.925781,39.333336,11.172274,2934037
2000-11-28,39.092133,39.208576,37.719746,38.801018,11.021072,4328030
2000-11-29,38.343559,38.892509,38.01086,38.094032,10.82026,2452859
2000-11-30,37.719746,37.960953,36.605206,36.605206,10.397372,3251913
2000-12-01,37.01276,38.468319,36.804825,37.969273,10.784822,3037787
2000-12-04,37.927685,40.123497,37.844509,38.551495,10.950198,4756632
2000-12-05,39.108765,40.672451,38.809338,40.331432,11.455772,4650397
2000-12-06,40.830482,41.462612,39.88229,40.115181,11.39435,5034833
2000-12-07,39.88229,40.547688,39.092133,39.466415,11.210073,3440883
2000-12-08,39.483051,40.522736,39.483051,40.214989,11.422697,2469897
2000-12-11,40.5061,41.737087,40.5061,41.387753,11.755811,4000018
2000-12-12,42.003246,42.959755,41.870167,42.444073,12.05585,5097080
2000-12-13,42.826675,43.001343,41.055054,41.37112,11.751084,4249031
2000-12-14,41.171497,41.712135,40.630863,40.705723,11.562087,3970544
2000-12-15,40.464516,40.880386,39.757526,39.94883,11.347095,7820370
2000-12-18,39.508003,40.214989,38.884193,39.591179,11.245511,5544700
2000-12-19,38.925781,40.090225,38.13562,38.252068,10.865147,5848923
2000-12-20,37.886097,39.008957,37.179111,37.362095,10.612361,4759146
2000-12-21,37.01276,38.193844,36.829777,36.929588,10.48951,3547996
2000-12-22,36.971172,37.428635,36.38895,36.596889,10.39501,2789535
2000-12-25,36.596889,36.596889,36.596889,36.596889,10.39501,0
2000-12-26,36.596889,36.596889,36.596889,36.596889,10.39501,0
2000-12-27,36.596889,36.929588,35.557205,36.056252,10.241446,2723442
2000-12-28,35.765141,36.264191,35.515617,36.006348,10.227271,3015184
2000-12-29,36.38895,37.761333,36.014664,37.212379,10.569837,2201095
2001-01-01,37.212379,37.212379,37.212379,37.212379,10.569837,0
2001-01-02,36.971172,38.293652,36.788189,36.937904,10.491873,2957077
2001-01-03,37.14584,38.252068,36.131111,38.01086,10.796637,2995349
2001-01-04,38.676258,39.591179,37.395367,39.591179,11.245511,6973169
2001-01-05,39.591179,39.591179,39.591179,39.591179,11.245511,0
2001-01-08,38.343559,39.341656,38.01086,38.676258,10.985635,3608788
2001-01-09,38.759434,38.842606,37.470222,38.842606,11.032886,4809738
2001-01-10,38.426731,38.717842,36.355682,37.129208,10.546211,6222055
2001-01-11,36.680061,38.01086,36.680061,37.436954,10.633623,3515432
2001-01-12,36.097839,36.846413,35.989712,36.738285,10.435172,7570873
2001-01-15,36.804825,37.320507,36.314095,37.179111,10.560383,3237661
2001-01-16,37.212379,37.220699,36.696697,37.220699,10.572197,2513986
2001-01-17,37.262287,39.32502,37.262287,39.25848,11.151009,6261166
2001-01-18,39.092133,40.206673,38.551495,39.923878,11.340012,5068591
2001-01-19,40.339752,41.504196,40.131817,40.722355,11.566812,6490138
2001-01-22,40.847118,42.003246,40.5061,41.753723,11.85976,4290588
2001-01-23,41.670547,42.793407,41.254673,41.98661,11.925912,5712298
2001-01-24,42.003246,42.003246,41.146545,41.836899,11.883387,4088292
2001-01-25,41.836899,43.084518,41.437656,43.042931,12.225947,5912655
2001-01-26,42.834995,44.157475,42.75182,43.683376,12.40786,5777897
2001-01-29,43.791504,44.248966,42.360897,42.918167,12.190511,5397162
2001-01-30,42.419121,42.54388,40.93029,41.454292,11.774708,5687470
2001-01-31,41.961658,42.743504,41.670547,42.460709,12.060573,4912732
2001-02-01,42.111374,43.142742,41.770355,41.795311,11.871572,4402047
2001-02-02,41.62896,42.236137,40.897022,40.963562,11.635324,5148823
2001-02-05,40.714039,41.911755,40.339752,41.836899,11.883387,4958180
2001-02-06,41.961658,43.791504,41.670547,43.30909,12.30155,4676846
2001-02-07,43.467121,44.415314,43.101154,43.101154,12.242486,6369007
2001-02-08,43.25087,44.714745,43.042931,44.540077,12.651201,3902093
2001-02-09,44.748013,44.748013,43.292454,43.500393,12.355886,2632820
2001-02-12,43.66674,44.531757,43.500393,43.916267,12.474011,2922878
2001-02-13,44.174107,46.203571,44.174107,45.496586,12.922887,7845924
2001-02-14,45.338554,46.444778,44.914364,46.161983,13.111885,5671567
2001-02-15,46.161983,46.161983,46.161983,46.161983,13.111885,0
2001-02-16,45.637981,45.754429,44.872776,45.496586,12.922887,4078782
2001-02-19,45.579762,46.394875,45.579762,45.870872,13.029199,2512198
2001-02-20,45.995632,47.16008,45.887508,47.027,13.357585,4741419
2001-02-21,46.993732,47.733986,46.577858,47.617542,13.525325,5249887
2001-02-22,47.326431,47.575954,44.99754,45.496586,12.922887,6391314
2001-02-23,45.870872,45.870872,43.566933,43.758232,12.429122,5269661
2001-02-26,43.957851,44.406998,42.918167,43.591885,12.381872,3812771
2001-02-27,43.583569,44.240646,43.167694,43.991123,12.495272,2873118
2001-02-28,43.583569,45.122299,43.25087,44.382046,12.606313,3660553
2001-03-01,44.664841,44.664841,43.67506,43.899632,12.469287,3025885
2001-03-02,44.074299,44.398678,43.400581,44.041027,12.509448,2580981
2001-03-05,43.891312,44.99754,43.608521,44.99754,12.781136,2497116
2001-03-06,45.097347,47.143448,44.7896,46.66935,13.256,6363542
2001-03-07,46.744205,47.143448,45.91246,46.311699,13.154408,3711334
2001-03-08,46.577858,46.577858,45.621349,46.062176,13.083533,2682911
2001-03-09,45.954048,46.835697,45.579762,46.394875,13.178033,4097695
2001-03-12,46.228523,46.394875,45.579762,45.687889,12.977223,3005961
2001-03-13,44.972584,45.188839,43.87468,43.899632,12.469287,5728275
2001-03-14,44.29055,44.307186,41.00515,41.961658,11.918824,9290305
2001-03-15,42.410805,43.217598,41.936707,43.217598,12.275561,4275734
2001-03-16,43.25087,44.082615,42.211185,42.627056,12.10782,27821665
2001-03-19,42.627056,43.450485,41.836899,42.094738,11.956623,2820431
2001-03-20,42.876579,43.126106,41.803627,43.076202,12.235396,3421488
2001-03-21,42.211185,42.909851,41.878487,41.920071,11.907011,4516130
2001-03-22,41.712135,41.836899,39.341656,39.923878,11.340012,7060882
2001-03-23,40.422928,41.246357,40.098545,41.00515,11.647137,3918560
2001-03-26,41.362801,42.419121,40.963562,42.177914,11.980248,2973247
2001-03-27,42.144646,43.034615,41.254673,43.034615,12.223587,5473494
2001-03-28,42.627056,42.818359,41.421024,42.211185,11.989698,3734465
2001-03-29,41.878487,42.918167,41.346165,42.918167,12.190511,4072326
2001-03-30,42.918167,43.159374,41.512516,42.12801,11.966073,3289134
2001-04-02,41.803627,42.926487,41.703819,42.710232,12.131448,2905324
2001-04-03,42.568836,43.134422,41.379436,41.811947,11.876301,4139680
2001-04-04,41.296261,41.953342,40.464516,41.379436,11.75345,4588974
2001-04-05,41.678864,42.926487,41.587372,42.577152,12.093647,3514500
2001-04-06,43.084518,43.957851,42.302677,42.918167,12.190511,3863508
2001-04-09,43.084518,44.315506,42.834995,43.882996,12.464563,4161532
2001-04-10,44.124203,45.90414,43.916267,45.579762,12.946512,5474864
2001-04-11,44.99754,45.954048,43.999439,45.954048,13.052825,9823912
2001-04-12,43.957851,44.373726,43.209278,43.791504,13.108936,4932891
2001-04-13,43.791504,43.791504,43.791504,43.791504,13.108936,0
2001-04-16,43.791504,43.791504,43.791504,43.791504,13.108936,0
2001-04-17,43.375629,43.749916,42.585468,43.25087,12.947102,3103114
2001-04-18,43.957851,45.746109,43.417217,45.463318,13.609397,5645187
2001-04-19,45.454998,45.654617,44.748013,45.330238,13.569559,3632784
2001-04-20,45.41341,46.785793,45.388458,45.779381,13.704005,6458334
2001-04-23,45.54649,46.120396,44.648205,45.91246,13.743843,4040156
2001-04-24,45.895824,46.893921,45.41341,46.644398,13.96295,4270278
2001-04-25,46.502998,47.409603,45.188839,45.920776,13.746332,8370613
2001-04-26,45.671253,46.369923,45.230427,46.062176,13.788658,3495536
2001-04-27,45.91246,46.586174,44.689793,45.538174,13.631804,4918417
2001-04-30,45.579762,47.243256,45.039124,46.943829,14.052586,3536213
2001-05-01,46.943829,46.943829,46.943829,46.943829,14.052586,0
2001-05-02,47.201668,48.141544,46.411507,47.908653,14.341402,5751446
2001-05-03,47.908653,48.399384,46.993732,47.076904,14.092422,4021868
2001-05-04,46.835697,47.492779,45.954048,47.409603,14.192015,3433097
2001-05-07,47.409603,47.409603,47.409603,47.409603,14.192015,0
2001-05-08,46.735889,46.910557,46.1703,46.910557,14.042623,2754305
2001-05-09,46.702621,46.993732,46.095444,46.910557,14.042623,2389671
2001-05-10,46.910557,46.910557,46.910557,46.910557,14.042623,0
2001-05-11,46.760841,47.825478,46.760841,47.517731,14.224379,2271197
2001-05-14,47.284843,47.534367,46.785793,47.076904,14.092422,1827766
2001-05-15,47.209988,47.401287,46.577858,46.893921,14.037643,2251534
2001-05-16,46.619446,47.401287,45.654617,46.993732,14.067525,3893306
2001-05-17,47.326431,47.85043,46.893921,47.301479,14.159644,3636139
2001-05-18,47.326431,47.65913,46.835697,47.392971,14.187036,3395612
2001-05-21,47.409603,47.65913,46.744205,47.567638,14.239318,2564210
2001-05-22,47.65913,47.717354,47.002048,47.359699,14.177071,2576156
2001-05-23,47.16008,47.276527,46.644398,46.744205,13.99283,1913313
2001-05-24,46.827381,47.492779,46.777477,46.885605,14.035157,1361206
2001-05-25,46.910557,47.135128,46.577858,46.902241,14.040134,1809804
2001-05-28,46.827381,46.910557,46.153667,46.577858,13.94303,2092504
2001-05-29,46.311699,46.552906,44.955952,44.955952,13.45752,4557716
2001-05-30,45.022491,45.122299,44.041027,44.623253,13.357924,3687858
2001-05-31,44.29055,45.130615,43.966171,44.881092,13.435109,3524399
2001-06-01,44.706425,44.939316,44.041027,44.29887,13.260821,2836446
2001-06-04,44.739697,45.238743,44.606617,45.097347,13.499843,1018702
2001-06-05,45.205475,45.430046,44.415314,45.388458,13.586986,3001322
2001-06-06,45.496586,45.629665,44.623253,45.430046,13.599437,2673244
2001-06-07,45.247063,45.637981,44.797916,45.030807,13.479922,2402738
2001-06-08,45.163887,45.288651,44.382046,44.673157,13.372861,2092519
2001-06-11,44.498489,44.881092,44.257282,44.681473,13.375352,1691459
2001-06-12,44.831188,44.831188,43.417217,43.982807,13.166209,3597392
2001-06-13,44.082615,44.273918,43.541981,43.833092,13.121391,2676446
2001-06-14,43.749916,43.749916,42.834995,43.25087,12.947102,2253421
2001-06-15,43.25087,43.25087,43.25087,43.25087,12.947102,0
2001-06-18,42.252769,42.344261,41.337849,41.604008,12.454114,4605277
2001-06-19,41.670547,42.918167,41.587372,42.086422,12.598527,4083264
2001-06-20,42.003246,42.402485,41.379436,42.161278,12.620933,3100516
2001-06-21,42.252769,42.252769,41.421024,42.094738,12.601015,3402588
2001-06-22,42.161278,43.400581,42.003246,43.334042,12.971997,4988171
2001-06-25,43.334042,43.783188,42.918167,43.566933,13.041715,2396075
2001-06-26,43.458805,43.541981,42.335945,42.868263,12.832566,3739300
2001-06-27,42.843311,43.492077,42.435757,43.442169,13.004366,2120377
2001-06-28,43.25087,44.248966,42.635376,44.248966,13.245879,3793691
2001-06-29,44.165791,45.238743,44.082615,45.122299,13.507308,4096017
2001-07-02,45.163887,46.577858,44.85614,46.577858,13.94303,4291460
2001-07-03,46.494682,46.910557,45.962364,45.995632,13.768744,4342081
2001-07-04,46.120396,46.511318,45.538174,45.538174,13.631804,2274513
2001-07-05,45.504902,45.820969,45.113983,45.646301,13.66417,2889080
2001-07-06,45.48827,45.48827,44.465218,44.847824,13.425146,3269908
2001-07-09,44.889408,45.213791,44.082615,45.155571,13.517273,2336900
2001-07-10,45.163887,45.779381,44.99754,45.205475,13.532211,3066422
2001-07-11,45.704521,46.985413,45.446682,46.985413,14.065033,9364864
2001-07-12,47.16008,47.916969,46.735889,47.351383,14.174587,6417468
2001-07-13,47.351383,47.351383,47.351383,47.351383,14.174587,0
2001-07-16,47.634178,47.908653,47.476147,47.501099,14.219401,2582589
2001-07-17,47.318111,47.575954,47.043636,47.559319,14.23683,3343297
2001-07-18,47.392971,47.392971,45.954048,46.511318,13.923114,4280959
2001-07-19,46.394875,46.785793,45.662937,46.785793,14.005275,4099584
2001-07-20,46.46973,48.075005,46.120396,48.075005,14.3912,9241052
2001-07-23,47.575954,47.825478,46.66935,47.201668,14.129768,5719265
2001-07-24,46.993732,47.65081,46.744205,46.744205,13.99283,3133402
2001-07-25,46.586174,47.343063,45.91246,46.394875,13.888253,4305440
2001-07-26,46.60281,46.910557,45.679569,46.494682,13.918131,3818428
2001-07-27,46.53627,47.076904,46.161983,46.960461,14.057565,2787683
2001-07-30,46.577858,47.542686,46.037224,46.61113,13.95299,4577371
2001-07-31,46.511318,47.276527,46.012268,47.176716,14.122298,3584715
2001-08-01,46.877289,47.143448,46.527954,47.076904,14.092422,1982354
2001-08-02,47.076904,47.151764,45.330238,45.621349,13.656701,4125347
2001-08-03,45.579762,45.870872,44.7896,45.039124,13.482411,3939319
2001-08-06,44.92268,45.330238,44.631569,44.872776,13.432615,2061467
2001-08-07,45.113983,45.613029,44.914364,45.321918,13.567068,3187459
2001-08-08,45.454998,45.563126,44.498489,44.648205,13.36539,3339392
2001-08-09,44.307186,44.664841,43.749916,44.016075,13.176164,3628941
2001-08-10,44.29055,44.947632,43.31741,43.67506,13.074082,4003133
2001-08-13,44.065979,44.598297,43.417217,43.66674,13.071593,3253593
2001-08-14,43.916267,44.7896,43.841408,44.531757,13.330533,3048231
2001-08-15,44.415314,44.498489,43.101154,43.583569,13.046693,2745229
2001-08-16,43.167694,43.209278,41.770355,42.452389,12.708076,4890839
2001-08-17,42.660328,42.909851,39.092133,39.657719,11.871494,10116702
2001-08-20,39.799114,40.863754,39.300068,40.073593,11.995988,4818474
2001-08-21,40.339752,40.946926,40.015369,40.43956,12.105537,4076988
2001-08-22,40.098545,41.753723,40.015369,41.113277,12.307214,6162073
2001-08-23,41.462612,42.385849,41.038422,42.011562,12.576115,4183643
